(aa,abandon)	:5.504765423128236E-4
(aa,abl)	:3.0464169897818856E-4
(aa,absolut)	:6.071650500320218E-4
(aa,accident)	:0.0010878890444528922
(aa,accord)	:2.948775751654144E-4
(aa,account)	:3.1091544181030843E-4
(aa,acknowledg)	:4.100115382719465E-4
(aa,acquir)	:0.00197994610573566
(aa,acquisit)	:0.0018921332414178838
(aa,across)	:2.984914630774668E-4
(aa,action)	:1.1363838872259125E-4
(aa,activ)	:1.0763009019475838E-4
(aa,actor)	:5.79028076800898E-4
(aa,actress)	:7.155750255407072E-4
(aa,ad)	:-7.712608265066279E-6
(aa,add)	:2.5216380737424875E-4
(aa,addition)	:1.8276408256416089E-4
(aa,address)	:3.8015544716570965E-4
(aa,admir)	:8.992124489667629E-4
(aa,admit)	:0.001142096483153618
(aa,adv)	:3.64724068969766E-4
(aa,advtak)	:0.0011557047484137232
(aa,afternoon)	:4.713546500403979E-4
(aa,ag)	:2.984914630774668E-4
(aa,again)	:0.0013293126072527126
(aa,agenc)	:9.341195593801958E-5
(aa,ago)	:7.888450126142809E-4
(aa,agre)	:4.975528028524935E-4
(aa,aid)	:1.089553176092682E-4
(aa,air)	:1.7283195414329822E-4
(aa,aldermen)	:0.0017452666232676284
(aa,alexand)	:6.724138350630713E-4
(aa,alik)	:0.0010452198570604432
(aa,allow)	:7.620443507567293E-5
(aa,along)	:2.0094333702653556E-4
(aa,alreadi)	:2.0815686138680951E-4
(aa,altern)	:4.52850577870836E-4
(aa,ambition)	:0.0011373216879216796
(aa,america)	:2.1275138381548217E-4
(aa,among)	:6.630104675382229E-4
(aa,amp)	:9.279357334948362E-4
(aa,ampeopl)	:0.0011752374767882963
(aa,analyst)	:0.001440017718092019
(aa,andi)	:0.0010730089991550747
(aa,andrew)	:7.202381254584389E-4
(aa,angel)	:2.91267513620814E-4
(aa,ani)	:3.6406423866441087E-4
(aa,anim)	:6.764713192941421E-4
(aa,announc)	:8.425490204609377E-4
(aa,annual)	:7.676819196697884E-4
(aa,anonym)	:2.984914630774668E-4
(aa,anoth)	:-7.71074114612957E-5
(aa,antitrust)	:0.0023168714727976993
(aa,anyth)	:3.121854512604988E-4
(aa,apart)	:4.260824927848065E-4
(aa,apiec)	:0.0011557047484137232
(aa,appear)	:2.6553110850505436E-5
(aa,applaus)	:0.0011557047484137232
(aa,approv)	:2.0998657024481787E-4
(aa,approxim)	:8.387989920245799E-4
(aa,appx)	:5.319376021146517E-4
(aa,arcadia)	:0.001561629199841573
(aa,arco)	:0.001561629199841573
(aa,area)	:4.984342240645756E-5
(aa,argum)	:5.319376021146517E-4
(aa,around)	:4.455557286759756E-4
(aa,arriv)	:2.91267513620814E-4
(aa,art)	:0.0012143906717155181
(aa,ask)	:-8.47013730409513E-5
(aa,aspirin)	:0.004319783208890558
(aa,assist)	:1.930223576818541E-4
(aa,assort)	:0.001296914797071264
(aa,astronaut)	:0.0011199604497453453
(aa,attack)	:5.753270211241156E-4
(aa,attempt)	:1.440563797226247E-4
(aa,attend)	:2.2987467689689783E-4
(aa,attent)	:0.0010812415555253938
(aa,attitud)	:7.202381254584389E-4
(aa,attornei)	:1.2601315068680205E-4
(aa,attract)	:4.410966439200786E-4
(aa,auction)	:8.528427897820987E-4
(aa,audienc)	:5.731052094725381E-4
(aa,auto)	:5.760526076959069E-4
(aa,autopsi)	:9.961116392641384E-4
(aa,avenu)	:8.675477106949911E-4
(aa,aw)	:0.0010197018518697822
(aa,award)	:0.0010685681310564038
(aa,bach)	:0.0014989352809893636
(aa,back)	:-6.668617962103315E-5
(aa,backdrop)	:0.0012424429815424032
(aa,bad)	:4.4691833835424917E-4
(aa,badli)	:8.457419865211776E-4
(aa,ball)	:8.1885039417825E-4
(aa,baltimor)	:8.829790888909348E-4
(aa,barbara)	:7.249718810884697E-4
(aa,bardot)	:0.0016401453296469046
(aa,bare)	:7.767299171697047E-4
(aa,barnei)	:0.0010452198570604432
(aa,barrier)	:8.253594190791628E-4
(aa,base)	:4.133834158538025E-4
